0
"[Timestamp('2006-06-13 13:08:00'), 15632]"
"[Timestamp('2006-07-25 09:15:00'), 15951]"
"[Timestamp('2006-08-22 09:20:00'), 16310]"
"[Timestamp('2007-01-18 10:29:00'), 16847]"
"[Timestamp('2007-07-18 08:51:00'), 18882]"
"[Timestamp('2008-06-25 09:49:00'), 19536]"
"[Timestamp('2008-07-10 09:12:00'), 19700]"
"[Timestamp('2008-09-11 10:22:00'), 20294]"
"[Timestamp('2008-10-28 13:52:00'), 20722]"
"[Timestamp('2008-11-13 09:55:00'), 20909]"
"[Timestamp('2008-11-26 17:54:00'), 20972]"
"[Timestamp('2009-02-25 10:50:00'), 21433]"
"[Timestamp('2009-05-19 11:07:00'), 22376]"
"[Timestamp('2009-10-13 09:17:00'), 23336]"
"[Timestamp('2009-12-17 00:00:00'), 23943]"
"[Timestamp('2009-12-17 13:09:00'), 23927]"
"[Timestamp('2010-01-28 09:44:00'), 24194]"
"[Timestamp('2011-04-12 09:13:00'), 25732]"
"[Timestamp('2011-06-24 09:36:00'), 26397]"
"[Timestamp('2011-07-10 23:00:00'), 26544]"
"[Timestamp('2011-07-11 09:45:00'), 26535]"
