variable,channel,nan_ratio
solenoid_current,,0.0
shot_index,,0.0
coil_current,AMC_P3L FEED CURRENT,0.0
coil_current,AMC_P3U FEED CURRENT,0.0
coil_current,AMC_P5U FEED CURRENT,0.0
coil_current,AMC_P5L FEED CURRENT,0.0
coil_current,AMC_P4L FEED CURRENT,0.0
coil_current,AMC_P4U FEED CURRENT,0.0
b_field_pol_probe_ccbv_field,AMB_CCBV05,0.015204754267065947
b_field_pol_probe_ccbv_field,AMB_CCBV03,0.015204754267065947
b_field_pol_probe_ccbv_field,AMB_CCBV04,0.015204754267065947
b_field_pol_probe_ccbv_field,AMB_CCBV14,0.015204754267065947
b_field_pol_probe_ccbv_field,AMB_CCBV18,0.015204754267065947
b_field_pol_probe_ccbv_field,AMB_CCBV17,0.015204754267065947
b_field_pol_probe_ccbv_field,AMB_CCBV20,0.015204754267065947
b_field_pol_probe_ccbv_field,AMB_CCBV19,0.015204754267065947
b_field_pol_probe_ccbv_field,AMB_CCBV39,0.015204754267065947
b_field_pol_probe_ccbv_field,AMB_CCBV40,0.015204754267065947
b_field_pol_probe_obr_field,AMB_OBR01,0.015204754267065947
b_field_pol_probe_obr_field,AMB_OBR04,0.015204754267065947
b_field_pol_probe_ccbv_field,AMB_CCBV36,0.015204754267065947
b_field_pol_probe_ccbv_field,AMB_CCBV34,0.015204754267065947
b_field_pol_probe_ccbv_field,AMB_CCBV33,0.015204754267065947
b_field_pol_probe_ccbv_field,AMB_CCBV37,0.015204754267065947
b_field_pol_probe_ccbv_field,AMB_CCBV15,0.015204754267065947
b_field_pol_probe_ccbv_field,AMB_CCBV16,0.015204754267065947
b_field_pol_probe_ccbv_field,AMB_CCBV12,0.015204754267065947
b_field_pol_probe_ccbv_field,AMB_CCBV07,0.015204754267065947
b_field_pol_probe_ccbv_field,AMB_CCBV11,0.015204754267065947
b_field_pol_probe_ccbv_field,AMB_CCBV09,0.015204754267065947
b_field_pol_probe_ccbv_field,AMB_CCBV08,0.015204754267065947
b_field_pol_probe_obr_field,AMB_OBR14,0.015204754267065947
b_field_pol_probe_obr_field,AMB_OBR06,0.015204754267065947
b_field_pol_probe_obr_field,AMB_OBR12,0.015204754267065947
b_field_pol_probe_obr_field,AMB_OBR13,0.015204754267065947
b_field_pol_probe_obr_field,AMB_OBR10,0.015204754267065947
b_field_pol_probe_obr_field,AMB_OBR09,0.015204754267065947
b_field_pol_probe_obr_field,AMB_OBR05,0.015204754267065947
flux_loop_flux,AMB_FL/P5L/4,0.015204754267065947
flux_loop_flux,AMB_FL/P5U/1,0.015204754267065947
b_field_pol_probe_obv_field,AMB_OBV18,0.015204754267065947
b_field_pol_probe_obv_field,AMB_OBV17,0.015204754267065947
b_field_pol_probe_obv_field,AMB_OBV09,0.015204754267065947
b_field_pol_probe_obv_field,AMB_OBV06,0.015204754267065947
b_field_pol_probe_obv_field,AMB_OBV05,0.015204754267065947
b_field_pol_probe_obv_field,AMB_OBV04,0.015204754267065947
flux_loop_flux,AMB_FL/CC05,0.015204754267065947
